timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
2779136000,2779135516,0.984708,-0.013564526,0.012081858,-0.17326355,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2779186000,2779185642,0.9846754,-0.013170096,0.011725453,-0.1735032,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2779230985,2779230642,0.9846779,-0.014235788,0.011257792,-0.17343625,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2779286008,2779285641,0.9846,-0.014444495,0.0114230225,-0.17385033,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2779336059,2779335641,0.984496,-0.014859893,0.011775142,-0.17437994,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2779386126,2779385784,0.98438436,-0.014011334,0.01237853,-0.17503698,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2779435965,2779435642,0.9843185,-0.012893668,0.012928626,-0.17545305,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2779486023,2779485640,0.9842641,-0.011922482,0.012317228,-0.17587036,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2779536168,2779535743,0.9841447,-0.013472494,0.0112175895,-0.17649901,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2779586049,2779585559,0.98399866,-0.014019066,0.010873937,-0.17729013,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2779636002,2779635641,0.9838306,-0.013374178,0.011190647,-0.17825077,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2779686024,2779685600,0.9837284,-0.012404931,0.011274128,-0.17887855,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2779735973,2779735641,0.9835736,-0.013046771,0.011479251,-0.17966893,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2779786010,2779785643,0.98340076,-0.01407782,0.011763595,-0.1805167,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2779836000,2779835682,0.98323995,-0.013531778,0.011686366,-0.18143742,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2779885995,2779885640,0.9830897,-0.012882531,0.011331723,-0.18231931,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2779936054,2779935559,0.983007,-0.012216598,0.011288496,-0.18281299,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2779986120,2779985659,0.9829138,-0.012345124,0.010789749,-0.18333483,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2780035976,2780035641,0.9827992,-0.013020256,0.010257718,-0.18393247,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2780086065,2780085686,0.9827523,-0.012365566,0.010370461,-0.1842214,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2780135966,2780135645,0.9826915,-0.010963655,0.010640744,-0.18461867,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
2780185969,2780185515,0.9826872,-0.008906366,0.01092988,-0.18473555,-0.99999994,9.624493e-10,-2.4276843e-09,0.00051422976,9
